#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu1230,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus CH230-62C22 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC096406.7,8.47E-87,97.436,10116
Zotu1231,,,,,,,,,,,,
Zotu1232,,,,,,,,,,,,
Zotu1233,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.34E-154,96.726,863246
Zotu1234,,,,,,,,,,,,
Zotu1235,,,,,,,,,,,,
Zotu1236,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus TL0AEA7YI13 mRNA sequence,FQ231039.1,5.27E-73,98.16,10116
Zotu1237,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,5.27E-90,91.016,100272
Zotu1238,,,,,,,,"Mus musculus chromosome 5, clone RP23-183C18, complete sequence",AC113018.7,1.24E-12,82.143,0
Zotu1239,,,,,,,,"Mouse DNA sequence from clone RP23-31C9 on chromosome 4, complete sequence",AL607070.19,2.47E-32,86,0
Zotu1240,,,,,,,,,,,,
Zotu1241,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.6E-99,97.273,351716
Zotu1242,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,6.43E-24,100,10117
Zotu1243,,,,,,,,,,,,
Zotu1244,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,8.04E-93,93.277,312471
Zotu1245,,,,,,,,,,,,
Zotu1246,Eukaryota,Chordata   ,Mammalia      ,Peramelemorphia,Peramelidae       ,Perameles   ,Perameles gunnii,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,1.46E-34,92.727,37737
Zotu1247,,,,,,,,"Acomys russatus genome assembly, chromosome: 13",LR877224.1,8.07E-33,84.049,0
Zotu1248,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,6.83E-28,89.72,0
Zotu1249,,,,,,,,,,,,
Zotu1250,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone A2_D12 18S ribosomal RNA gene, partial sequence",JN629255.1,3.67E-101,95.781,204529
Zotu1251,,,,,,,,Rattus norvegicus 18 BAC CH230-372C24 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC127734.4,4.65E-30,83.333,0
Zotu1252,,,,,,,,"PREDICTED: Rattus norvegicus FAD-dependent oxidoreductase domain containing 1 (Foxred1), transcript variant X5, misc_RNA",XR_593815.2,4.39E-56,86.364,0
Zotu1253,,,,,,,,,,,,
Zotu1254,,,,,,,,,,,,
Zotu1255,,,,,,,,,,,,
Zotu1256,,,,,,,,,,,,
Zotu1257,,,,,,,,,,,,
Zotu1258,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 9, clone RP23-329B5, complete sequence",AC109212.15,1.07E-39,94.643,10090
Zotu1259,,,,,,,,,,,,
Zotu1260,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma sp. AB-2013 isolate G5 18S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence",KC753534.1,2.42E-174,98.31,1345638
Zotu1261,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,2.39E-98,92.913,266813
Zotu1262,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.47E-43,96.46,863246
Zotu1263,,,,,,,,,,,,
Zotu1264,,,,,,,,,,,,
Zotu1265,,,,,,,,,,,,
Zotu1266,,,,,,,,,,,,
Zotu1267,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNECO-200B10 (Amplicon Express Rat SHR-Akr (EcoR1 Digest) BAC library) complete sequence,AC242998.6,1.99E-42,92.857,10116
Zotu1268,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,2.48E-73,87.5,0
Zotu1269,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 1",AB996690.1,3.09E-102,93.774,204529
Zotu1270,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,5.62E-24,100,10117
Zotu1271,,,,,,,,"Bodo saltans strain SCCAP BS364 18S ribosomal RNA gene, partial sequence",AY998648.1,3.98E-71,87.549,0
Zotu1272,,,,,,,,,,,,
Zotu1273,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Rf1 BAC CH230-6O13 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC099350.8,1.89E-52,91.25,10116
Zotu1274,,,,,,,,,,,,
Zotu1275,,,,,,,,,,,,
Zotu1276,,,,,,,,"Onychomys torridus genome assembly, chromosome: 23",LR877210.1,3.56E-30,84.667,0
Zotu1277,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.08E-157,97.305,863246
Zotu1278,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,1.46E-65,97.386,240580
Zotu1279,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma vegrandis isolate OTU3687 18S ribosomal RNA gene, partial sequence",KY640322.1,1.13E-172,98.028,1648351
Zotu1280,,,,,,,,,,,,
Zotu1281,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida    ,Rhynchomonadidae,Rhynchomonas,Rhynchomonas nasuta,"Rhynchomonas nasuta strain HFCC319 18S ribosomal RNA gene, partial sequence",DQ207598.1,1.32E-60,96.622,127150
Zotu1282,,,,,,,,,,,,
Zotu1283,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,3.8E-66,95.758,312471
Zotu1284,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.6 18S ribosomal RNA gene, partial sequence",AY753958.1,4E-106,94.553,100272
Zotu1285,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus CH230-129D21 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC136163.2,4.7E-62,93.023,10116
Zotu1286,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.72E-53,93.793,10090
Zotu1287,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Lepus       ,Lepus californicus,"Lepus californicus Krev interaction trapped protein 1 (KRIT1) gene, intron partial sequence",HM483646.1,2.99E-68,93.443,48087
Zotu1288,,,,,,,,,,,,
Zotu1289,,,,,,,,,,,,
Zotu1290,,,,,,,,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,2.42E-83,89.764,0
Zotu1291,,,,,,,,,,,,
Zotu1292,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.17E-108,97.468,312471
Zotu1293,,,,,,,,,,,,
Zotu1294,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,5.73E-85,89.434,0
Zotu1295,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.25E-71,85.714,0
Zotu1296,,,,,,,,"Mus musculus chromosome 3, clone RP23-168E14, complete sequence",AC044864.6,8.38E-43,87.879,0
Zotu1297,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate JC16 18S ribosomal RNA gene, partial sequence",AY753615.1,2.48E-88,90.53,312471
Zotu1298,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.24E-65,96.795,312471
Zotu1299,,,,,,,,,,,,
Zotu1300,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 1, clone RP24-472N18, complete sequence",AC120416.11,1.2E-30,90.351,10090
Zotu1301,,,,,,,,"Wallaby DNA sequence from clone MEKBa-192E16, complete sequence",CU302407.3,3.68E-26,83.688,0
Zotu1302,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,2.39E-98,92.913,266813
Zotu1303,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.11E-101,93.701,266813
Zotu1304,,,,,,,,"Mus musculus BAC clone RP23-408K7 from chromosome 9, complete sequence",AC164087.5,1.64E-64,89.604,0
Zotu1305,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 3 BAC CH230-248O1 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC115341.6,1.67E-78,97.222,10116
Zotu1306,,,,,,,,,,,,
Zotu1307,,,,,,,,,,,,
Zotu1308,,,,,,,,,,,,
Zotu1309,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,8.04E-93,93.277,312471
Zotu1310,,,,,,,,,,,,
Zotu1311,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus solute carrier family 16 member 7 (Slc16a7), transcript variant X7, mRNA",XM_006241436.3,1.06E-80,98.305,10116
Zotu1312,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida    ,Rhynchomonadidae,Rhynchomonas,Rhynchomonas nasuta,"Rhynchomonas nasuta strain HFCC319 18S ribosomal RNA gene, partial sequence",DQ207598.1,1.32E-60,96.622,127150
Zotu1313,,,,,,,,,,,,
Zotu1314,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma sp. AB-2013 isolate G5 18S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence",KC753534.1,6.73E-175,98.584,1345638
Zotu1315,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.22E-81,87.726,0
Zotu1316,Eukaryota,Euglenozoa ,Kinetoplastea ,Parabodonida  ,Parabodonidae,Parabodo    ,Parabodo caudatus,"Parabodo caudatus strain HFCC10 18S ribosomal RNA gene, partial sequence",DQ207591.1,2.42E-63,99.286,351713
Zotu1317,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote partial 18S rRNA gene, clone SIBO788_N12D1_18S_E",LN581275.1,3.67E-61,97.26,100272
Zotu1318,,,,,,,,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,4.19E-81,88.889,0
Zotu1319,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 10, clone RP23-360H23, complete sequence",AC104920.10,2.88E-31,93.814,10090
Zotu1320,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Cricetidae        ,Onychomys   ,Onychomys torridus,"Onychomys torridus genome assembly, chromosome: 21",LR877208.1,1.05E-10,95.833,38674
Zotu1321,,,,,,,,,,,,
Zotu1322,,,,,,,,,,,,
Zotu1323,,,,,,,,,,,,
Zotu1324,,,,,,,,,,,,
Zotu1325,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L8.1 18S ribosomal RNA gene, partial sequence",AY753976.1,8.5E-88,91.129,100272
Zotu1326,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,8.97E-88,90.494,100272
Zotu1327,,,,,,,,,,,,
Zotu1328,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,5.45E-24,100,10117
Zotu1329,,,,,,,,,,,,
Zotu1330,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus neuralized E3 ubiquitin protein ligase 3 (Neurl3), transcript variant X1, mRNA",XM_008767025.2,8.85E-113,95.094,10116
Zotu1331,,,,,,,,,,,,
Zotu1332,,,,,,,,,,,,
Zotu1333,,,,,,,,,,,,
Zotu1334,,,,,,,,,,,,
Zotu1335,,,,,,,,,,,,
Zotu1336,,,,,,,,,,,,
Zotu1337,,,,,,,,,,,,
Zotu1338,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,6.79E-28,89.72,0
Zotu1339,,,,,,,,,,,,
Zotu1340,,,,,,,,,,,,
Zotu1341,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP23-399J19 from 1, complete sequence",AC121790.2,0.0000111,97.297,10090
Zotu1343,,,,,,,,,,,,
Zotu1344,,,,,,,,,,,,
Zotu1345,,,,,,,,,,,,
Zotu1346,,,,,,,,,,,,
Zotu1347,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,7.03E-79,88.213,0
Zotu1348,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania infantum,"Leishmania infantum isolate CBT 276 small subunit ribosomal RNA gene, partial sequence",MN757921.1,1.6E-140,97.959,5671
Zotu1349,,,,,,,,,,,,
Zotu1350,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD55 18S ribosomal RNA gene, partial sequence",AY998651.1,1.07E-101,94.4,312471
Zotu1351,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. Jockey thermal pool,"Bodonidae sp. Jockey thermal pool 18S ribosomal RNA gene, partial sequence",AY490219.1,2.32E-98,93.6,266811
Zotu1352,,,,,,,,,,,,
Zotu1353,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.69E-73,85.765,0
Zotu1354,,,,,,,,"Neobodo designis isolate Oxford 18S ribosomal RNA gene, partial sequence",AY753616.1,5.44E-80,88.846,0
Zotu1355,Eukaryota,Chordata   ,Mammalia      ,Peramelemorphia,Peramelidae       ,Perameles   ,Perameles gunnii,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,3.15E-31,91.589,37737
Zotu1356,,,,,,,,,,,,
Zotu1357,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_204B12, complete sequence",KJ810982.1,6.52E-83,96.875,9986
Zotu1358,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,5.29E-80,89.062,0
Zotu1359,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.09E-152,96.429,863246
Zotu1360,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,8.74E-78,88.672,0
Zotu1361,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,1.12E-86,90.551,204529
Zotu1362,,,,,,,,,,,,
Zotu1363,,,,,,,,,,,,
Zotu1364,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Prss53:tm1e(EUCOMM)Wtsi; transgenic",JN962744.1,4.37E-90,94.954,10090
Zotu1365,,,,,,,,,,,,
Zotu1366,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD55 18S ribosomal RNA gene, partial sequence",AY998651.1,2.32E-98,93.6,312471
Zotu1367,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma teixeirae,"Trypanosoma teixeirae 18S ribosomal RNA gene, partial sequence",KT907061.1,3.78E-152,97.222,1826986
Zotu1368,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,1.67E-85,87.586,0
Zotu1369,,,,,,,,,,,,
Zotu1370,,,,,,,,,,,,
Zotu1371,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.02E-156,97.015,863246
Zotu1372,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,7.23E-24,100,10117
Zotu1373,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus disintegrin and metalloproteinase domain-containing protein 28-like (LOC102550654), transcript variant X4, misc_RNA",XR_001846310.1,1.82E-119,97.665,10116
Zotu1374,,,,,,,,,,,,
Zotu1375,,,,,,,,"Onychomys torridus genome assembly, chromosome: 14",LR877201.1,2.18E-34,84.375,0
Zotu1376,,,,,,,,,,,,
Zotu1377,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma sp. Coma4,"Trypanosoma sp. Coma4 gene for 18S ribosomal RNA, partial sequence",AB828159.1,2.46E-58,93.21,1348445
Zotu1378,,,,,,,,,,,,
Zotu1379,,,,,,,,,,,,
Zotu1380,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.65E-80,87.365,0
Zotu1381,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 4 BAC CH230-213L22 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC126115.5,2.15E-42,98.095,10116
Zotu1382,,,,,,,,"Mus musculus chromosome 16, clone RP23-425F12, complete sequence",AC116484.12,1.01E-16,81.667,0
Zotu1383,,,,,,,,,,,,
Zotu1384,,,,,,,,,,,,
Zotu1385,,,,,,,,,,,,
Zotu1386,,,,,,,,"Mouse DNA sequence from clone RP23-311G5 on chromosome 2, complete sequence",AL845536.8,1.82E-66,80.637,0
Zotu1387,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 6 BAC CH230-424O13 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC128571.4,1.51E-58,93.21,10116
Zotu1388,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. river Thames,"Bodonidae sp. river Thames 18S ribosomal RNA gene, partial sequence",AY490225.1,2.29E-63,96.711,266821
Zotu1389,,,,,,,,,,,,
Zotu1390,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.8E-112,98.312,312471
Zotu1391,,,,,,,,,,,,
Zotu1392,,,,,,,,,,,,
Zotu1393,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,6.01E-114,98.734,312471
Zotu1394,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,3.72E-96,94.118,312471
Zotu1395,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,1.13E-86,90.551,100272
Zotu1396,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp.,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,4.75E-60,96.599,2041038
Zotu1397,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.25E-71,85.714,0
Zotu1398,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,6.04E-80,86.505,0
Zotu1399,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,2.44E-88,90.945,100272
Zotu1400,,,,,,,,,,,,
Zotu1401,,,,,,,,,,,,
Zotu1402,,,,,,,,,,,,
Zotu1403,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,1.88E-89,90.98,100272
Zotu1404,,,,,,,,,,,,
Zotu1405,,,,,,,,,,,,
Zotu1406,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_204B12, complete sequence",KJ810982.1,4.01E-65,92.818,9986
Zotu1407,,,,,,,,,,,,
Zotu1408,,,,,,,,,,,,
Zotu1409,,,,,,,,,,,,
Zotu1410,,,,,,,,"Mouse DNA sequence from clone RP23-20K17 on chromosome 4, complete sequence",AL806517.9,9.84E-41,88.591,0
Zotu1411,,,,,,,,,,,,
Zotu1412,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus CH230-1B22 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC129839.5,5.49E-23,91.86,10116
Zotu1413,,,,,,,,,,,,
Zotu1415,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Prg2:tm1a(EUCOMM)Hmgu; transgenic",JN963933.1,5.01E-55,84.615,0
Zotu1416,,,,,,,,,,,,
Zotu1417,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,1.77E-64,95.152,312471
Zotu1418,,,,,,,,,,,,
Zotu1419,,,,,,,,,,,,
Zotu1420,Eukaryota,Chordata   ,Mammalia      ,Peramelemorphia,Peramelidae       ,Perameles   ,Perameles gunnii,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,4.11E-30,90.741,37737
Zotu1421,,,,,,,,,,,,
Zotu1422,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,2.38E-103,94.094,266813
Zotu1423,Eukaryota,Chordata   ,Mammalia      ,Primates       ,Hominidae         ,Homo        ,Homo sapiens,Homo sapiens 3 BAC RP11-274J15 (Roswell Park Cancer Institute Human BAC Library) complete sequence,AC092896.9,9.76E-09,93.75,9606
Zotu1424,,,,,,,,,,,,
Zotu1425,,,,,,,,,,,,
Zotu1426,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania infantum,"Leishmania infantum isolate CBT 276 small subunit ribosomal RNA gene, partial sequence",MN757921.1,3.46E-137,97.279,5671
Zotu1427,,,,,,,,,,,,
Zotu1428,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,1.09E-111,96.094,312471
Zotu1429,,,,,,,,,,,,
Zotu1430,,,,,,,,,,,,
Zotu1431,,,,,,,,,,,,
Zotu1432,,,,,,,,,,,,
Zotu1433,,,,,,,,"Oryctolagus cuniculus clone BAC LBAB_204B12, complete sequence",KJ810982.1,2.13E-47,88.304,0
Zotu1434,,,,,,,,,,,,
Zotu1435,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD52 18S ribosomal RNA gene, partial sequence",AY998646.1,1.02E-96,94.538,312471
